inchikey,key14,smiles_std,compound_name,bbb_class,logbb,b3db_threshold,b3db_uncertainty_classification,b3db_uncertainty_regression,b3db_reference_classification,b3db_reference_regression,source_id_classification,source_id_regression,coconut_id_exact_match,coconut_ids_key14_match,coconut_matches_key14
AABLHGPVOULICI-BRJGLHKUSA-N,AABLHGPVOULICI,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@@]3(O)[C@H]1C5,hydromorphinol,BBB+,,-1.0,B,,R1|R6|R27|R30|,,b3db_classification:1875,,CNP0129509.1,CNP0129509.1,1
AABLHGPVOULICI-GYRMQKGHSA-N,AABLHGPVOULICI,CN1CC[C@@]23c4c5ccc(O)c4O[C@H]2[C@H](O)CC[C@@]3(O)[C@H]1C5,hydromorphinol,BBB+,,,C,,R27|R30|,,b3db_classification:7297,,CNP0129509.1,CNP0129509.1,1
AABLHGPVOULICI-UHFFFAOYSA-N,AABLHGPVOULICI,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3(O)C1C5,hydromorphinol,BBB+,,-1.0,B,,R19|R27|,,b3db_classification:4469,,CNP0129509.1,CNP0129509.1,1
AABLHGPVOULICI-XFHACQAXSA-N,AABLHGPVOULICI,CN1CCC23c4c5ccc(O)c4O[C@@H]2[C@@H](O)CCC3(O)C1C5,,BBB+,,-1.0,B,,R13|,,b3db_classification:3221,,CNP0129509.1,CNP0129509.1,1
AABLHGPVOULICI-XYFLEOOXSA-N,AABLHGPVOULICI,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@H](O)CC[C@]3(O)[C@H]1C5,,BBB+,,,C,,R24|,,b3db_classification:6403,,CNP0129509.1,CNP0129509.1,1
AAKJLRGGTJKAMG-UHFFFAOYSA-N,AAKJLRGGTJKAMG,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,"tarceva, erlotinib",BBB+,,,C,,R26|,,b3db_classification:6797,,CNP0436884.0,CNP0436884.0,1
AAKVAFHZQBZTNK-UHFFFAOYSA-N,AAKVAFHZQBZTNK,O=C(Nc1ccc(OC2CCCC2)cc1)c1cc2c(ccc3ccccc32)o1,sulphur hexafluoride,BBB+,,-1.0,B,,R16|R10|,,b3db_classification:4092,,,,0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,AAOVKJBEBIDNHE,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,diazepam,BBB+,0.5,,A,D,R3|R38|R25|R41|R46|R18|R26|R27|R50|R40|R20|R2|R2|R27|R8|R21|R27|R5|R3|R11|R12|R35|R36|R39|R42|R43|R44|R47|R4|,R3|R38|R25|R41|R46|R18|R26|R27|R50|R40|R20|R2|R2|R27|R8|R21|R27|R5|R3|R11|R12|R35|R36|R39|R42|R43|R44|R47|R4|,b3db_classification:820,b3db_regression:1021,CNP0315180.0,CNP0315180.0,1
AAQOQKQBGPPFNS-UHFFFAOYSA-N,AAQOQKQBGPPFNS,CC[N+](C)(C)Cc1ccccc1Br,bretylium,BBB-,,-1.0,B,,R1|R13|R28|R9|R27|R27|R27|R30|R36|,,b3db_classification:1690,,CNP0551881.0,CNP0551881.0,1
AAXVEMMRQDVLJB-ARJPBXCHSA-N,AAXVEMMRQDVLJB,CC12CCC(=O)C=C1CC[C@H]1[C@@H]3CCC(O)(C(=O)CO)C3(C)C[C@H](O)C12F,,BBB+,,-1.0,B,,R13|,,b3db_classification:2920,,,,0
AAXVEMMRQDVLJB-IIDSPLMYSA-N,AAXVEMMRQDVLJB,C[C@@]12CCC(=O)C=C1CC[C@H]1[C@H]3CC[C@@](O)(C(=O)CO)[C@]3(C)C[C@H](O)[C@@]12F,fludrocortisone,BBB+,,,C,,R27|R30|,,b3db_classification:7507,,,,0
AAXVEMMRQDVLJB-QOWBRBCBSA-N,AAXVEMMRQDVLJB,C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@H]3CC[C@@](O)(C(=O)CO)[C@]3(C)C[C@H](O)[C@]12F,,BBB+,,,C,,R24|,,b3db_classification:6600,,,,0
ABQYZRZVRIPTPI-UHFFFAOYSA-N,ABQYZRZVRIPTPI,COn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,miloxacin,BBB+,-0.92,,A,B,R18|R25|R26|R41|R3|R38|R40|R2|R2|R8|R21|R27|R27|R46|R47|,R18|R25|R26|R41|R3|R38|R40|R2|R2|R8|R21|R27|R27|R46|R47|,b3db_classification:153,b3db_regression:342,,,0
ABTUNUDRMBWCBE-GOSISDBHSA-N,ABTUNUDRMBWCBE,Cc1ccc(S[C@H](C)C(=O)NCCCc2ccc(OC(C)C)cc2)cc1,tamoxifen,BBB+,,-1.0,B,,R16|R10|,,b3db_classification:4050,,,,0
ABWPQNZPAOAQSG-KRWDZBQOSA-N,ABWPQNZPAOAQSG,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)C[C@@H](O)CC2,zinc21981359,BBB+,,-1.0,B,,R13|,,b3db_classification:3621,,,,0
ABWPQNZPAOAQSG-UHFFFAOYSA-N,ABWPQNZPAOAQSG,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CC(O)CC2,7-hydroxy risperidone,BBB+,-0.67,,A,B,R2|R2|R8|R40|R21|R27|,R2|R2|R8|R40|R21|R27|,b3db_classification:222,b3db_regression:383,,,0
ACBLZFZDCOGNHD-UHFFFAOYSA-N,ACBLZFZDCOGNHD,CCCC(CCC)(CCC)C(N)=O,valdipromide,BBB+,,-1.0,B,,R1|R13|R19|R6|R24|R27|R27|R27|R30|R30|,,b3db_classification:1502,,,,0
ACCMWZWAEFYUGZ-UHFFFAOYSA-N,ACCMWZWAEFYUGZ,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,bilastine,BBB-,,,C,,R23|,,b3db_classification:5746,,CNP0573864.0,CNP0573864.0,1
ACGDKVXYNVEAGU-UHFFFAOYSA-N,ACGDKVXYNVEAGU,NC(N)=NCCN1CCCCCCC1,guanethidinesulfate,BBB-,,-1.0,B,,R1|R13|R23|R27|R30|,,b3db_classification:2309,,CNP0385300.0|CNP0530851.0,CNP0385300.0|CNP0530851.0,2
ACSIXWWBWUQEHA-UHFFFAOYSA-N,ACSIXWWBWUQEHA,O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,clodronic acid,BBB-,,,C,,R23|R27|,,b3db_classification:5950,,CNP0515243.0,CNP0515243.0,1
ACTOXUHEUCPTEW-CYRWVPIWSA-N,ACTOXUHEUCPTEW,CO[C@@H]1[C@H](O[C@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@H](O)[C@H](C)O3)[C@@H](N(C)C)[C@@H]2O)[C@H](CC=O)C[C@@H](C)[C@H](O[C@H]2CC[C@@H](N(C)C)[C@H](C)O2)C=CC=CC[C@@H](C)OC(=O)C[C@H]1O,spiramycin,BBB-,,,C,,R27|R30|,,b3db_classification:7400,,,CNP0408996.1|CNP0408996.10|CNP0408996.11|CNP0408996.12|CNP0408996.2|CNP0408996.3|CNP0408996.4|CNP0408996.5|CNP0408996.6|CNP0408996.7|CNP0408996.8|CNP0408996.9,12
ACTOXUHEUCPTEW-CZYOFHSXSA-N,ACTOXUHEUCPTEW,CO[C@@H]1[C@@H](O[C@@H]2O[C@@H](C)[C@@H](O[C@H]3CC(C)(O)[C@@H](O)[C@H](C)O3)[C@@H](N(C)C)[C@@H]2O)[C@H](CC=O)C[C@H](C)[C@H](O[C@@H]2CC[C@H](N(C)C)[C@H](C)O2)/C=C/C=C/C[C@H](C)OC(=O)C[C@@H]1O,,BBB-,,-1.0,B,,R13|,,b3db_classification:3402,,,CNP0408996.1|CNP0408996.10|CNP0408996.11|CNP0408996.12|CNP0408996.2|CNP0408996.3|CNP0408996.4|CNP0408996.5|CNP0408996.6|CNP0408996.7|CNP0408996.8|CNP0408996.9,12
ACTOXUHEUCPTEW-NORKPRQUSA-N,ACTOXUHEUCPTEW,CO[C@@H]1[C@@H](OC2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](OC2CC[C@H](N(C)C)[C@@H](C)O2)C=CC=CC[C@@H](C)OC(=O)C[C@H]1O,spiramycin,BBB-,,,C,,R6|R6|,,b3db_classification:4891,,,CNP0408996.1|CNP0408996.10|CNP0408996.11|CNP0408996.12|CNP0408996.2|CNP0408996.3|CNP0408996.4|CNP0408996.5|CNP0408996.6|CNP0408996.7|CNP0408996.8|CNP0408996.9,12
ACTOXUHEUCPTEW-OBURPCBNSA-N,ACTOXUHEUCPTEW,COC1C(O)CC(=O)OC(C)C/C=C/C=C/C(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,spiramycin,BBB-,,-1.0,B,,R1|R27|R30|,,b3db_classification:1980,,,CNP0408996.1|CNP0408996.10|CNP0408996.11|CNP0408996.12|CNP0408996.2|CNP0408996.3|CNP0408996.4|CNP0408996.5|CNP0408996.6|CNP0408996.7|CNP0408996.8|CNP0408996.9,12
ACTOXUHEUCPTEW-UHFFFAOYSA-N,ACTOXUHEUCPTEW,COC1C(O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,spiramycin i,BBB-,,-1.0,B,,R19|R14|R27|,,b3db_classification:4515,,,CNP0408996.1|CNP0408996.10|CNP0408996.11|CNP0408996.12|CNP0408996.2|CNP0408996.3|CNP0408996.4|CNP0408996.5|CNP0408996.6|CNP0408996.7|CNP0408996.8|CNP0408996.9,12
