gen,diana,grupo_proyecto,diana_categoria,diana_enfermedades,diana_mecanismo,diana_efecto_buscado,respaldo,filas_v3
ACHE,Acetilcolinesterasa,SNC clásico,Alzheimer,Alzheimer|Demencia|Miastenia gravis,Colinérgico,Inhibición,"Inhibidores aprobados para Alzheimer: donepezilo, rivastigmina, galantamina",13270
BCHE,Butirilcolinesterasa,SNC clásico,Alzheimer,Alzheimer|Demencia,Colinérgico,Inhibición,La rivastigmina inhibe AChE y BChE,6169
MAOA,Monoamino oxidasa A,SNC clásico,Depresión,Depresión|Ansiedad,Monoaminérgico,Inhibición,"Inhibidores aprobados como antidepresivos: moclobemida, fenelzina, tranilcipromina",9584
MAOB,Monoamino oxidasa B,SNC clásico,Parkinson,Parkinson|Depresión,Dopaminérgico,Inhibición,"Inhibidores aprobados para Parkinson: selegilina, rasagilina, safinamida",9190
GRIN1,"Receptor NMDA, subunidad GluN1",SNC clásico,Alzheimer,Alzheimer|Depresión|Ictus|Epilepsia,Glutamatérgico,Antagonismo,Memantina (Alzheimer) y esketamina (depresión) bloquean el receptor NMDA,391
GRIN2A,"Receptor NMDA, subunidad GluN2A",SNC clásico,Epilepsia,Epilepsia|Esquizofrenia|Alzheimer,Glutamatérgico,Antagonismo,Mutaciones de GRIN2A causan epilepsias; el bloqueo NMDA (memantina) se usa en Alzheimer,159
GRIN2B,"Receptor NMDA, subunidad GluN2B",SNC clásico,Depresión,Depresión|Dolor neuropático|Alzheimer,Glutamatérgico,Antagonismo,Antagonistas de GluN2B estudiados en depresión resistente y dolor,2511
GABRA1,"Receptor GABA-A, subunidad α1",SNC clásico,Epilepsia,Epilepsia|Insomnio|Ansiedad,GABAérgico,Modulación positiva,"Benzodiacepinas (epilepsia, ansiedad) y zolpidem (insomnio, selectivo de α1)",401
GABRA2,"Receptor GABA-A, subunidad α2",SNC clásico,Ansiedad,Ansiedad|Epilepsia,GABAérgico,Modulación positiva,Media el efecto ansiolítico de las benzodiacepinas,175
GABRA5,"Receptor GABA-A, subunidad α5",SNC clásico,Deterioro cognitivo,Deterioro cognitivo|Alzheimer,GABAérgico,Modulación negativa,Moduladores negativos (p. ej. basmisanil) en estudio para mejorar la memoria,545
GABRB2,"Receptor GABA-A, subunidad β2",SNC clásico,Epilepsia,Epilepsia|Esquizofrenia,GABAérgico,Modulación positiva,Mutaciones asociadas a epilepsia; asociación genética con esquizofrenia,1
