Compound;CNS positivity; MW (g/mol);Freely Rotable Bonds (ACD);PSA (ACD);HBD (ACD);HBA (ACD);logP (ACD);logD (pH7.4) (ACD);HPLC logP-HBA (ACD);HBA+HBD (ACD);logP-HBA (ACD);logD (pH 7.4)-HBA (ACD);HPLC logP(pH 7.4) ;IAM Km (linear);IAM Pm (linear);HSA;LogK;tPSA;logP;ClogP;pKa (prediction);3D PSA;CNS MPO score;BBB score;CNS MPO PET score
Sitagliptin;negative;407.31;5;77;2;6;1.3;1.09;-4.94;8;-4.7;-4.91;1.06;30.62;0.08;31.21;-0.35;74.29;2.2;0.69;0.76;;;;3.5
Teicoplanin;negative;1879.66;20;662;25;42;0.4;-3.6;-40.08;67;-41.6;-45.6;1.92;11.29;0.01;90.1;0.92;662;;;-0.33;;;;3
Fluoroethyl-Carfentanilhydrochloride;positive;426.52;10;50;0;5;3.97;3.47;-1.6;5;-1.03;-1.53;3.4;139.67;0.33;73.26;0.42;49.85;3.74;3.94;7.75;;;;2.8
SCH-23388hydrochloride;positive;287.78;1;23;1;2;3.83;3.1;;3;1.83;1.1;;;;;;23.47;3.99;4.02;8.24;48.6;3.66;5.64;2.7
SCH-23390hydrochloride;positive;287.78;1;23;1;2;3.83;3.1;1.11;3;1.83;1.1;3.11;179.71;0.55;80.66;0.6;23.47;3.99;3.24;8.24;51.7;3.66;5.64;2.7
ABP688;positive;240.3;3;34;0;3;3.87;3.2;-0.14;3;0.87;0.2;2.86;63.32;0.26;75.55;0.47;33.95;2.52;2.29;1.64;39.2;5.39;5.32;3.2
FPEBStandard;positive;222.22;3;67;0;2;2.54;2.9;1.15;2;0.54;0.9;3.15;49.54;0.22;73.05;0.42;36.15;3.25;2.86;3.02;79;5.07;5.29;4.3
Ritalin;positive;233.3;4;38;1;3;2.55;0.26;;4;-0.45;-2.74;;;;;;38.88;2.16;2.55;9.09;52.8;5.12;5.25;4.7
DMFEAN;positive;293.34;6;51;0;3;4;4.13;1.54;3;1;1.13;4.54;83.06;0.28;80.28;0.59;50.82;3.95;3.42;2.58;106.3;4.73;5.25;4
CITFES;positive;403.24;1;49;2;3;0.38;-2.09;;5;-2.62;-5.09;;;;;;40.54;3.62;1.46;3.73;79.2;5.09;5.24;3.7
DASB;positive;283.39;5;78;2;3;3.2;1.87;0.84;5;0.2;-1.13;3.84;136.29;0.48;75.74;0.48;53.05;3.31;3.21;1.8;101.4;5.2;5.21;4.5
PHNO;positive;248.34;2;34;1;3;2.55;1.97;-1;4;-0.45;-1.03;2;39.32;0.16;61.69;0.2;33.9;2.37;2.79;9.68;65.5;5.04;5.2;3.9
MDL(Volinanserin);positive;373.46;7;42;1;4;3.56;1.94;-0.89;5;-0.44;-2.06;3.11;113;0.28;71.74;0.39;41.93;3.81;3.29;8.75;42;4.87;5.19;3.3
MDL100151;positive;373.46;7;42;1;4;3.56;1.94;0.62;5;-0.44;-2.06;3.13;102.81;0.28;71.74;0.39;41.93;3.81;3.29;8.75;50.5;4.87;5.19;3.3
MDL100907;positive;373.46;7;42;1;4;3.56;1.94;-0.89;5;-0.44;-2.06;3.11;112.7;0.3;66.99;0.3;41.93;3.81;3.29;8.75;42.5;4.87;5.19;3.3
Etomidate;positive;244.29;3;71;0;4;1.58;1.9;-1.44;4;-2.42;-2.1;2.56;29.77;0.12;69;0.33;41.9;1.84;2.67;4.25;43.9;5.75;5.17;5.6
Metomidate;positive;230.26;4;44;0;4;2.72;2.22;2.62;4;-1.28;-1.78;2.07;19.16;0.07;61.39;0.19;41.9;1.5;2.14;4.25;49.8;5.93;5.17;5.3
Quinidine;efflux;324.42;4;46;1;4;3.44;1.17;-1.26;5;-0.56;-2.83;2.74;119.97;0.37;76.08;0.49;45;2.48;2.79;13.89;68;5.48;5.16;3.5
FluoroethylEtomidate(FETO);positive;262.28;6;44;0;4;3.07;2.43;-1.82;4;-0.93;-1.57;2.18;19.38;0.07;62.83;0.22;41.9;1.69;2.39;4.25;43.5;5.83;5.15;4.9
beta-CFT;positive;277.33;3;30;0;3;2.42;0.22;-3.23;3;-0.58;-2.78;-0.23;;;;;29.54;2.49;2.96;9.37;32.4;4.79;5.14;4.1
